asset_number;asset_description;lamp_type_lupvalue;lamp_rating_w;mounting_type_lupvalue;lat;lon;location
1539167;Feature Lighting - Charles Grimes Bridge between Wurundjeri Way and Montague Street;9;3;Pole: Multiple Fixed;-37.82384453588752;144.9480018077227;-37.82384453588752, 144.9480018077227
1541682;Feature Lighting -;13;35;Pole: Multiple Fixed;-37.82298979747994;144.94724554805168;-37.82298979747994, 144.94724554805168
1544467;Feature Lighting - Queensbridge Square between Queens Bridge Street and Southbank Boulevard;13;14;Pole: Multiple Fixed;-37.821212327168915;144.96173366902195;-37.821212327168915, 144.96173366902195
1603057;Feature Lighting - Little Bourke Street between Russell Street and Swanston Street;9;3;Guy Wire (Catenary);-37.81201954764058;144.9670636052735;-37.81201954764058, 144.9670636052735
1502884;Feature Lighting - Southbank Pedestrian Bridge;;;Inground;-37.81983898857414;144.96503201250573;-37.81983898857414, 144.96503201250573
1543907;Feature Lighting - Melbourne - Clifton Hill Railway;3;35;Pole: Multiple Fixed;-37.816452397080994;144.98352795837272;-37.816452397080994, 144.98352795837272
1539671;Feature Lighting - Newquay Promenade between Rakaia Way and Dopel Way;9;;Pole: Multiple Fixed;-37.81527790238015;144.94082702659452;-37.81527790238015, 144.94082702659452
1544162;Feature Lighting -;13;70;Pole: Multiple Fixed;-37.8244225203351;144.9461706496535;-37.8244225203351, 144.9461706496535
1543900;Feature Lighting - Little Bourke Street between Exhibition Street and Russell Street;9;;Pole: Multiple Fixed;-37.81134847694933;144.96932128762785;-37.81134847694933, 144.96932128762785
1348450;Feature Lighting - Docklands;5;70;Inground;-37.825164195813656;144.94707551764176;-37.825164195813656, 144.94707551764176
1544776;Feature Lighting - Upfield Railway;9;;Pole: Multiple Fixed;-37.786891901277805;144.94170635964085;-37.786891901277805, 144.94170635964085
1541863;Feature Lighting -;;;Pole: Multiple Fixed;-37.823932962377114;144.9521773549605;-37.823932962377114, 144.9521773549605
1347934;Feature Lighting - Docklands;1;;Inground;-37.81465400557912;144.9417333005422;-37.81465400557912, 144.9417333005422
1346828;Feature Lighting - Docklands;1;;Canopy;-37.81718499470244;144.95272678522787;-37.81718499470244, 144.95272678522787
1544813;Feature Lighting - Victoria Harbour;1;50;Pole: Multiple Fixed;-37.817081618965545;144.94509922008018;-37.817081618965545, 144.94509922008018
1542614;Feature Lighting -;9;;Pole: Multiple Fixed;-37.82267869979108;144.94622693055726;-37.82267869979108, 144.94622693055726
1346694;Feature Lighting - Docklands;5;70;Inground;-37.81856883323653;144.94668090228905;-37.81856883323653, 144.94668090228905
1544561;Feature Lighting - Victoria Green;9;;Pole: Multiple Fixed;-37.8201827214567;144.94504683998974;-37.8201827214567, 144.94504683998974
1544166;Feature Lighting - Victoria Harbour;9;;Pole: Multiple Fixed;-37.814512422243496;144.943274794885;-37.814512422243496, 144.943274794885
1346972;Feature Lighting - Docklands;1;4;Fender;-37.815448992485464;144.94159150022006;-37.815448992485464, 144.94159150022006
1539415;Feature Lighting -;13;70;Pole: Multiple Fixed;-37.824425356422644;144.946193747472;-37.824425356422644, 144.946193747472
1541989;Feature Lighting - Parliament Gardens;9;;Pole: Multiple Fixed;-37.809809381995784;144.97357159852507;-37.809809381995784, 144.97357159852507
1542464;Feature Lighting - Birrarung Marr;9;;Pole: Multiple Fixed;-37.8189882224636;144.97424845461353;-37.8189882224636, 144.97424845461353
1347601;Feature Lighting - Docklands;1;150;Bridge Beam;-37.82400563462761;144.94794264241546;-37.82400563462761, 144.94794264241546
1543595;Feature Lighting - Australian Wharf between Webb Bridge and Collins Landing;9;;Pole: Multiple Fixed;-37.8226615811559;144.94632969641387;-37.8226615811559, 144.94632969641387
1539676;Feature Lighting - Collins Street between Spencer Street and Batmans Hill Drive;13;70;Pole: Multiple Fixed;-37.819701118243984;144.9515828175763;-37.819701118243984, 144.9515828175763
1540952;Feature Lighting - Lincoln Square;9;;Pole: Multiple Fixed;-37.80230534052529;144.96316865084128;-37.80230534052529, 144.96316865084128
1541058;Feature Lighting - Wurundjeri Way between Bourke Street and Flinders Street;13;;Pole: Multiple Fixed;-37.82092099819225;144.9522252380569;-37.82092099819225, 144.9522252380569
1543419;Feature Lighting -;9;;Pole: Multiple Fixed;-37.82253559333236;144.94554512636554;-37.82253559333236, 144.94554512636554
1544470;Feature Lighting - Intersection of Lonsdale Street and Russell Street;13;14;Pole: Multiple Fixed;-37.81094096166103;144.96718928215935;-37.81094096166103, 144.96718928215935
1603053;Feature Lighting - Little Bourke Street between Russell Street and Swanston Street;9;3;Guy Wire (Catenary);-37.81208829048604;144.9668292637604;-37.81208829048604, 144.9668292637604
1543850;Feature Lighting - Swanston Street between Flinders Lane and Collins Street;9;;Pole: Multiple Fixed;-37.816081292069775;144.9669216805937;-37.816081292069775, 144.9669216805937
1502923;Feature Lighting - Southbank Pedestrian Bridge;;;Inground;-37.819714826117156;144.96513221257388;-37.819714826117156, 144.96513221257388
1539854;Feature Lighting - Docklands Drive between Harbour Esplanade and Saint Mangos Lane;1;50;Pole: Multiple Fixed;-37.81308120725341;144.9422448144306;-37.81308120725341, 144.9422448144306
1487659;Feature Lighting - Docklands;;;;-37.820202051812366;144.94479138435608;-37.820202051812366, 144.94479138435608
1543441;Feature Lighting -;9;;Pole: Multiple Fixed;-37.82248594154405;144.94530857480692;-37.82248594154405, 144.94530857480692
1346825;Feature Lighting - Docklands;3;36;Parapet;-37.81752550260332;144.94999822444166;-37.81752550260332, 144.94999822444166
1346746;Feature Lighting - Docklands;5;150;Parapet;-37.81764352761958;144.9486998885737;-37.81764352761958, 144.9486998885737
1502952;Feature Lighting - Northbank;;;;-37.819297076824554;144.9645972575445;-37.819297076824554, 144.9645972575445
1543801;Feature Lighting - Swanston Street between Flinders Lane and Collins Street;9;;Pole: Multiple Fixed;-37.81603373105199;144.96690735360997;-37.81603373105199, 144.96690735360997
1539584;Feature Lighting - River Esplanade between Webb Bridge and Swinging Basin Lane;13;70;Pole: Multiple Fixed;-37.82434928259809;144.94422040747526;-37.82434928259809, 144.94422040747526
1542791;Feature Lighting -;12;;Pole: Multiple Fixed;-37.822933456760644;144.94713859049642;-37.822933456760644, 144.94713859049642
1540515;Feature Lighting - Wurundjeri Way between Batmans Hill Drive and Flinders Street;3;14;Pole: Multiple Fixed;-37.82235676220695;144.95133284653116;-37.82235676220695, 144.95133284653116
1543561;Feature Lighting - Australian Wharf between Webb Bridge and Collins Landing;9;;Pole: Multiple Fixed;-37.822601169199785;144.94636997094145;-37.822601169199785, 144.94636997094145
1541506;Feature Lighting - Queensbridge Square between Queens Bridge Street and Southbank Boulevard;13;14;Pole: Multiple Fixed;-37.82154708927076;144.96156200764534;-37.82154708927076, 144.96156200764534
1539292;Feature Lighting -;13;70;Pole: Multiple Fixed;-37.82418017934868;144.9439289199789;-37.82418017934868, 144.9439289199789
1542595;Feature Lighting -;9;;Pole: Multiple Fixed;-37.822637627877384;144.94603124888968;-37.822637627877384, 144.94603124888968
1347233;Feature Lighting - Docklands;3;36;Parapet;-37.8177891314625;144.94908018885334;-37.8177891314625, 144.94908018885334
1539808;Feature Lighting - Newquay Promenade between Saint Mangos Lane and Aquitania Way;9;;Pole: Multiple Fixed;-37.81470911538785;144.94240635406135;-37.81470911538785, 144.94240635406135
1347426;Feature Lighting - Docklands;5;70;Inground;-37.82338309964744;144.9430217940373;-37.82338309964744, 144.9430217940373
1543992;Feature Lighting - Birrarung Marr;9;;Pole: Multiple Fixed;-37.81968021743216;144.97479769475743;-37.81968021743216, 144.97479769475743
1541594;Feature Lighting - Intersection of Lonsdale Street and Russell Street;13;14;Pole: Multiple Fixed;-37.81095579501906;144.96711149809758;-37.81095579501906, 144.96711149809758
